scraped_at,created_at,username,comment,likes
2025-12-07T20:17:46,2025-12-06T20:22:02,nentry26,🤮🤮,0
2025-12-07T20:17:46,2025-12-06T20:21:57,rulli_alfazri,🤦🏻🤦🏻,0
2025-12-07T20:17:46,2025-12-06T20:21:33,sitianisah741,"Kok pada ngelamun yah bicara nya,😡",0
2025-12-07T20:17:46,2025-12-06T20:21:26,destiirhma_,Goblok🗿🗿,0
2025-12-07T20:17:46,2025-12-06T20:21:25,user_rofi_007,"ini nih yang bikin susah maju negaranya, tuhan nya bener"" gak di takuti malah jadi bahan salah"" an",0
2025-12-07T20:17:46,2025-12-06T20:21:13,redna1975,Wong gak duwe utek bahlul tenan😂😂,0
2025-12-07T20:17:46,2025-12-06T20:21:03,zlftnphlwn,"jadi mau salah hujan ada ya manusia begitu,siksa neraka pedih x loh",0
2025-12-07T20:17:46,2025-12-06T20:20:57,sii_ridwan,Tuhan aja disalahkan apalagi cuma rakyat,0
2025-12-07T20:17:46,2025-12-06T20:20:57,mpi_ipeh,Alien,0
2025-12-07T20:17:46,2025-12-06T20:20:50,denerrosz,Bahlul bahlul,0
2025-12-07T20:17:46,2025-12-06T20:20:45,kritis_lebak,W bilang 🐒 semuanya,0
2025-12-07T20:17:46,2025-12-06T20:20:22,ye_em_ye_em,Bahli Bahlull..lol,0
2025-12-07T20:17:46,2025-12-06T20:20:14,hdyttw4hyu,Dasar goblin tolol,0
2025-12-07T20:17:46,2025-12-06T20:20:09,choirummizan,Si kepala kontol tolol 🤣,0
2025-12-07T20:17:46,2025-12-06T20:20:07,ulfachubby,"Dosa maneh bahlil nyalahkeun hujan,,,hujan mah berkah,lmn jd bencana berartibaya sabab musabab,,hadech sok hyng bae dihujat nya",0
2025-12-07T20:17:46,2025-12-06T20:20:00,daniaprihandono,Cuma termul yg gak takut Ama tuhan ...,0
2025-12-07T20:17:46,2025-12-06T20:19:55,rochmayatii,Hayang nyeungseurikeun si eta ker seuri😭🤣,0
2025-12-07T20:17:46,2025-12-06T20:19:53,doniferanaldi77,Goblok... 👎👎,0
2025-12-07T20:17:46,2025-12-06T20:19:32,langitsenja_811,Kalian babi salah kalian,0
2025-12-07T20:17:46,2025-12-06T20:19:25,bungakamboja690,orang goblok laknat,0
2025-12-07T20:17:46,2025-12-06T20:19:17,rassyadtyaa,udah botak ganteng lagi😡,0
2025-12-07T20:17:46,2025-12-06T20:19:05,nurhasanatulloh,Bahlil manusia 🐕🐷 bangsat,0
2025-12-07T20:17:46,2025-12-06T20:19:01,intanolshopbali,Smg monyet ini cepet dipanggil ke AKHIRAT 🔥🔥🔥🔥,1
2025-12-07T20:17:46,2025-12-06T20:18:45,the_gap_wall,"Walopun dia benar, tapi kita tidak goblok apa penybab utamanya",0
2025-12-07T20:17:46,2025-12-06T20:18:44,ariw_id,Goblok,0
2025-12-07T20:17:46,2025-12-06T20:18:29,conidien,berkat bahlil saya bisa melihat iblis tanpa indra ke6,0
2025-12-07T20:17:46,2025-12-06T20:18:28,faroukardilles,,0
2025-12-07T20:17:46,2025-12-06T20:17:56,dzaka_ms,Goblokkkkkkk,0
2025-12-07T20:17:46,2025-12-06T20:17:54,bangmhiezna,Bahlil di indo klo di arab mah bah?,0
2025-12-07T20:17:46,2025-12-06T20:17:52,fikryardsyh,Njerr tuhan pun di lawan😭,0
2025-12-07T20:17:46,2025-12-06T20:17:52,doroarroza,Elu yang jadi biang kerok,0
2025-12-07T20:17:46,2025-12-06T20:17:51,anggimbal,allah d salah kan 👏👏👏,0
2025-12-07T20:17:46,2025-12-06T20:17:34,dapoerbunbun_83,Kenapa cuma di film aj santet kabinet gak bisakah real  diciptain dukun pada GK emosi apa liat ulah para kabinet yang kaya gini😭,0
2025-12-07T20:17:46,2025-12-06T20:17:24,muhammadderys,,0
2025-12-07T20:17:46,2025-12-06T20:17:22,sugi_are,"Biar kesambar petir tu orang,jahatnya ga nanggung nanggung,segala Sang oencipta disalahkan",0
2025-12-07T20:17:46,2025-12-06T20:17:07,azlan.11,KON.....,0
2025-12-07T20:17:46,2025-12-06T20:16:55,zizdahsyat_,"Asal jeplak, ga berdasar bicaranya.. Keliatan kosong nya, Tuhan pun kau salahkan Pak",0
2025-12-07T20:17:46,2025-12-06T20:16:50,agushambalii77,"Ya allah yg maha agung moga2 dikasih hidayah orang ini masa nyalahin hujan ,😡😡🔥🔥",0
2025-12-07T20:17:46,2025-12-06T20:16:31,hendryhendarsyah,INGET @bahlillahadalia KESERAKAHAN AWAL DARI BENCANA,0
2025-12-07T20:17:46,2025-12-06T20:16:26,akuabiq,Hujan itu dari tuhan kok disalahkan gimana lil,0
2025-12-07T20:17:46,2025-12-06T20:16:13,lyynihh_,buset sama dengan engga dia salahkan rahmat tuhan😡,0
2025-12-07T20:17:46,2025-12-06T20:16:02,zambrink,Ni manusia apa anjeeng??,0
2025-12-07T20:17:46,2025-12-06T20:15:57,cacaardiansyah,Lil Lil Lil Lil.,0
2025-12-07T20:17:46,2025-12-06T20:15:55,nisvu_sptr,alam yg disalahin,0
2025-12-07T20:17:46,2025-12-06T20:15:47,vy_nvd,Nih lagi Dengkul Anjlok nyalahin Alam @bahlillahadalia,0
2025-12-07T20:17:46,2025-12-06T20:15:41,velina1408,Dsr bahlul 😡,0
2025-12-07T20:17:46,2025-12-06T20:15:31,diahkaulitz,Allahuakbar,0
2025-12-07T20:17:46,2025-12-06T20:14:54,odigarfield,Anjay mulai nyalahin tuhan,0
2025-12-07T20:17:46,2025-12-06T20:14:22,diks.adriawann,"Hujan disalahin, lu yg salah",0
2025-12-07T20:17:46,2025-12-06T20:14:14,faisal_exel91,Ini si ANJING kalo ngebacot ga pake otak apa gimana siiiii😡,0
2025-12-07T20:17:46,2025-12-06T20:14:04,ekoviko.ssijkt2012,Hujan disalahin mulut tuh disalahin kalau engga bisa ngomong jangan ngomong ..,0
2025-12-07T20:17:46,2025-12-06T20:14:03,dru_766,😡😡😡😡😡😡😡😡😡,0
2025-12-07T20:17:46,2025-12-06T20:13:58,vhie_humaira,"Otaknya pada kopong menteri Indonesia tu,kecuali bbrpa orang",0
2025-12-07T20:17:46,2025-12-06T20:13:53,ibyusap,Pak @purnomopolisibaik tolong langsung di angkut bahlil,0
2025-12-07T20:17:46,2025-12-06T20:13:50,elmayana05,Bener bener ngga ada cocok cocoknya jadi pejabat si bapak ini,0
2025-12-07T20:17:46,2025-12-06T20:13:47,devaindrayana11,Tuhan pun salah 👏,0
2025-12-07T20:17:46,2025-12-06T20:13:43,awaludinyusuf_sou,Bahlil ganti bahlul,0
2025-12-07T20:17:46,2025-12-06T20:13:31,gamoelpetoek,bahlil lama2 pengen gua ihh... alam kok di salahin 😢,0
2025-12-07T20:17:46,2025-12-06T20:13:26,yohanes.kusuma89,Beli otak dulu pak @bahlillahadalia 🤣,0
2025-12-07T20:17:46,2025-12-06T20:13:23,edykurniawanak47,Bahlil jgn sok paling tau,0
2025-12-07T20:17:46,2025-12-06T20:13:02,husni.milanisti,"Dibilang G**a, tapi ngerti banget soal DUIT",0
2025-12-07T20:17:46,2025-12-06T20:12:58,lh.tgi78,masa pejabat bgt bcra nya kaya gak pake otak,0
2025-12-07T20:17:46,2025-12-06T20:12:46,cmy.maureen,Mirip Anies😂😂😂,0
2025-12-07T20:17:46,2025-12-06T20:12:40,hastii.han,Gendeng🗿,0
2025-12-07T20:17:46,2025-12-06T20:12:37,zhrnnylh,Dia pas ngomong di pikir dulu gasi,0
2025-12-07T20:17:46,2025-12-06T20:12:33,deisyfazria12,"Ini nih anak kesayangannya si wowo, sampai di puji puji.. Najis!",0
2025-12-07T20:17:46,2025-12-06T20:12:33,yohanes.kusuma89,Lawak sih bahlul etanol,0
2025-12-07T20:17:46,2025-12-06T20:12:33,uchysaleh87,🤣🤣🤣anak saya yg sd aja tau hujan tuu Rahmat ALLAH pak...yg buat jd bencana tuu manusia yg gak jaga alam..makhluk hidup bukan bapak doang..tumbuhan pohon besar tuu makhluk hidup pak,0
2025-12-07T20:17:46,2025-12-06T20:12:18,ad.do933,manusia ini emang ga ada otaknya...Semoga Allah azab.dia.sgra,0
2025-12-07T20:17:46,2025-12-06T20:11:56,dedenabdul1933,Alam disalahkan hukum alam mutlak hutannya dirusak ya banjir longsor ....,0
2025-12-07T20:17:46,2025-12-06T20:11:54,wisnuwish,"Luas Jidatnya, Otak Jadi Mengecil",0
2025-12-07T20:17:46,2025-12-06T20:11:49,gendutwiwit,Besok kalo sudah kenyang pasti muntah semua....,0
2025-12-07T20:17:46,2025-12-06T20:11:42,shalkhansa,"Lagi itu angin, skrg ujan",0
2025-12-07T20:17:46,2025-12-06T20:11:39,ida.wf,😂😂😂😂,0
2025-12-07T20:17:46,2025-12-06T20:11:34,adiesdx,"Oh Berarti penyebab nya tuhan, tuhan jd begitu elo2 pd juga penyebab nya termul, jd tuhan murka pd negeri ini",0
2025-12-07T20:17:46,2025-12-06T20:11:24,denysetiawan2506,Yg Salah itu ISI kepala elu muka tramadol,0
2025-12-07T20:17:46,2025-12-06T20:11:15,aris_buchori_sdm,"hujan tinggi itu datang dari Allah, lo nyalahin Allah dong, bahlil ente kalau ga bisa kerja ngakuim aja., kita rakyat saja juga sdh tahu, cuma lo aja yg ga tahu malu..",0
2025-12-07T20:17:46,2025-12-06T20:11:12,ken_khaslana,"Wajar lah nama nya juga musim hujan, udh tau musim hujan malah di tebangin tolol",1
2025-12-07T20:17:46,2025-12-06T20:11:03,alvaroemon,Bahlil kih ancen terah menteri pekok oo 😢,0
2025-12-07T20:17:46,2025-12-06T20:10:52,indah.kawai.16,Berak,0
2025-12-07T20:17:46,2025-12-06T20:10:45,arinivona,Ciiihhhhhhhhhh,0
2025-12-07T20:17:46,2025-12-06T20:10:41,alfredgtbn,,0
2025-12-07T20:17:46,2025-12-06T20:10:40,grosirsaidmukhammad27,Wedus cempe,0
2025-12-07T20:17:46,2025-12-06T20:10:38,siti.haryati48,Lu salahin tuhan yg ngatur hujan 🤣🤣 bodoh syekaliiiii ya Allah nih orang tua,0
2025-12-07T20:17:46,2025-12-06T20:10:37,hamidzammy73,"Ya ALLAH.... Engkau telah disalahkan sama bahlil, maka kutuklah sibahlil",0
2025-12-07T20:17:46,2025-12-06T20:10:23,anoynustrr,Bahlul terkotoek,0
2025-12-07T20:17:46,2025-12-06T20:10:03,dj.co___,😡,0
2025-12-07T20:17:46,2025-12-06T20:09:57,susiyanti_emi,,0
2025-12-07T20:17:46,2025-12-06T20:09:21,ro_nny8106,Bikin heboh lagi ya..aneh..,0
2025-12-07T20:17:46,2025-12-06T20:09:15,ukimulki27,Tuhan aja dia lawan....gimana otaknya nih orang...jin dan iblis aja sujud sama ni orang,0
2025-12-07T20:17:46,2025-12-06T20:08:51,prawoto3307,"Lo biang keroknya.., knp nyalahin hujan..",0
2025-12-07T20:17:46,2025-12-06T20:08:28,abdl9__,Beh Lil,0
2025-12-07T20:17:46,2025-12-06T20:08:22,akacrazy__,ngomongnya ga jelas lu bahlu black,0
2025-12-07T20:17:46,2025-12-06T20:08:21,deglengpaijo,,0
2025-12-07T20:17:46,2025-12-06T20:08:11,awanhitam.yk,Yg kayak gini kok TUHAN kasih nyawa banyak napa dah....😭😭😭,0
2025-12-07T20:17:46,2025-12-06T20:08:04,iam.bbw.0001,Makin ke sini makin tololll aja logika pejabat jaman sekarang,0
2025-12-07T20:17:46,2025-12-06T20:08:02,dhika.ap10,Mentri konoha kok kek gini smua ya rata²,0
2025-12-07T20:17:46,2025-12-06T20:08:01,rendizltaa,🌧:lah kok jadi gue yang kenak,0
2025-12-07T20:17:46,2025-12-06T20:07:49,araedisini,"Lil bahlil minimal klo muka dah jelek pikiran jangan jelek"" banget lil",0
2025-12-07T20:17:46,2025-12-06T20:07:44,anisa_penelope,🗿dih ada gitu modelan orang kek gini.,0
2025-12-07T20:17:46,2025-12-06T20:07:30,ajjabentar,"Semoga ditunggu diUGD,,sibahlul, punya uang banyak alam disalahkan..astagfirullah..",0
2025-12-07T20:17:46,2025-12-06T20:07:17,adendut97,Alam disalahkan dasar manusia tolol @bahlillahadalia,0
2025-12-07T20:17:46,2025-12-06T20:07:09,agung_sifa,Hadeh,0
2025-12-07T20:17:46,2025-12-06T20:07:06,rasyasnack_1212,"Ini lagi definisi ada kolanya tapi g ada otak nya, bencana karena manusia yg rakus hujan yg di salahkan innalillahi wainnailaihi rojiun",0
2025-12-07T20:17:46,2025-12-06T20:07:02,bayu.sutrisna.94,Orng idiot. Gw aja gak pernah nyalahin Allah yg sudah menciptakan BAHLIL .,0
2025-12-07T20:17:46,2025-12-06T20:06:47,muttaqin110,Smg in orang CPT dpt blsan,0
2025-12-07T20:17:46,2025-12-06T20:06:45,bangjames410,Berarti dia menyalahkan kehendak Alloh. Dasar mafia. Tdkningat mati aja. Segolongan ama gang solo sama aja penjarah kekayaan alam Indonesia,0
2025-12-07T20:17:46,2025-12-06T20:06:27,d22dc2d,Cuci tangan dengan alasan menyalahkan hujan..,0
2025-12-07T20:17:46,2025-12-06T20:06:21,f.ramadhaniiiiii,aku kalo jdi hujan marah bgt sumpah😭 auto turun hujan aja dirmh dia ku buat😂,0
2025-12-07T20:17:46,2025-12-06T20:06:15,mutaqin05,Pala doang gede. Otaknya kecil,0
2025-12-07T20:17:46,2025-12-06T20:06:08,clauu.tfm,Bisa nggasi orang ini dibuang,0
2025-12-07T20:17:46,2025-12-06T20:06:03,hellotiti.12,Serah lu aja lah bahlil,0
2025-12-07T20:17:46,2025-12-06T20:05:59,nadiart_pyrography,otak kadal,0
2025-12-07T20:17:46,2025-12-06T20:05:58,mahenreza058,Yaudah kamu atepin aja 1 sumatra,0
2025-12-07T20:17:46,2025-12-06T20:05:54,dimaskog,"Contoh manusia tukang cabut, waktu tuham bagi² otak 🤣🤣🤣",0
2025-12-07T20:17:46,2025-12-06T20:05:49,tifanidwip,"Ini orang bisa di mute aja ga sih? Soalnya tolol banget, ada suaranya juga malah ga guna begitu😭",0
2025-12-07T20:17:46,2025-12-06T20:05:30,ajhi9265,"TOLOL BANGET ANDA 
PADAHAL DARI DULU JUGA WAKTU KECIL SUDAH DI  KASIH TAU SAMA GURU , GIMNA AKIBATNYA BILA HUTAN GUNDUL",0
2025-12-07T20:17:46,2025-12-06T20:05:21,m_balle28,Orang goblok secara tidak langsung nyalahin sang pencipta,0
2025-12-07T20:17:46,2025-12-06T20:05:19,murdhani810,Otaknya dangkal..ga bermutu omongannya,0
2025-12-07T20:17:46,2025-12-06T20:05:13,alif_zulfikar7,Kok alam yang disalahkan 😂,0
2025-12-07T20:17:46,2025-12-06T20:04:58,edgartanpa_d,Sama jawabannya kek pas banjir di Bali kemarin. Nyalahin hujan brarti nyalahin yg bikin hujan dong? Berani bener manusia satu ini 🤣🤣🤣,0
2025-12-07T20:17:46,2025-12-06T20:04:55,fajri_series02,Ndk ngarati den jo isi utak paja bano ko lai kodoh😂😂 yo barasok ang ko mah balil balil,0
2025-12-07T20:17:46,2025-12-06T20:04:54,ririssuryanti,"Ya allah banjir ny pindah aja kerumah Bahlil, biar dia banjir sendirian",0
2025-12-07T20:17:46,2025-12-06T20:04:53,fsxdoll_13,cuplak e ira udan😭,0
2025-12-07T20:17:46,2025-12-06T20:04:45,herdinan678,Beungeut Sia,0
2025-12-07T20:17:46,2025-12-06T20:04:40,ekomotormabur,Gebuk Keling Dekil.. 😡😡😡,0
2025-12-07T20:17:46,2025-12-06T20:04:27,_anggana_,"Esdm bahlul,, s item lgi s item lgi",0
2025-12-07T20:17:46,2025-12-06T20:04:14,gusvano_zahri,Suruh bahlil tanami pohon beringin ngeles mulu tuh org🤣,0
2025-12-07T20:17:46,2025-12-06T20:04:11,gogonulunggono74,Hebat konoha pejabatnye selalu menyalahkan Allah swt sang pencipta Air hujan jakarta kapan ya Allah swt kadih gempa besar,0
2025-12-07T20:17:46,2025-12-06T20:04:03,andreyans1198,Muak lihat muka nya,0
2025-12-07T20:17:46,2025-12-06T20:03:58,hafidz_and,🗿🗿🗿,0
2025-12-07T20:17:46,2025-12-06T20:03:53,analusiana16,"HEI LO HUJAN ITU UDAH KEHENDAK ALLOH KOK MENYALAHKAN ALLOH , DASAR  PEKOK BIN KOPLAK",0
2025-12-07T20:17:46,2025-12-06T20:03:39,rumiazolla,"Knp rata2 mereka kebanyakan kata ""Ya"" baik di awal kalimat dan diakhir",0
2025-12-07T20:17:46,2025-12-06T20:03:32,abby_yasya,Secara tidak langsung menyalahkan Tuhan dong,0
2025-12-07T20:17:46,2025-12-06T20:03:30,r.iwan871,Tai anjing😡,0
2025-12-07T20:17:46,2025-12-06T20:03:27,rizki_koweh,Tobat Bahlilll🤣,0
