scraped_at,created_at,username,comment,likes
2025-12-10T14:28:01,2025-12-07T23:12:39,rikoferdiansyah_____,Manusia keparat,0
2025-12-10T14:28:01,2025-12-07T23:11:00,siiijanuarrrr,emang anjingggg ini orang,0
2025-12-10T14:28:01,2025-12-07T23:10:15,krisdiana_sari,"YA ALLAH KOK ORA NDANG MATI AE LOH PAK PAKKK, MALAIKAT WIS ORA MAMPU NYATET DUSO MU....",0
2025-12-10T14:28:01,2025-12-07T23:08:26,aripin9741,"Mana bisa DPRD  tunjuk kepala daerah, org 2029dprd dan DPR sdh gak ada LG.",0
2025-12-10T14:28:01,2025-12-07T23:08:24,fajrisaft_,goblin goblok,0
2025-12-10T14:28:01,2025-12-07T23:07:01,govrift,"Ngusulin ide mulu kayak kerjanya nyata aja, kocak",0
2025-12-10T14:28:01,2025-12-07T23:05:21,khalimatur_,😭cukupp bisa ga jangan memicu amarah,0
2025-12-10T14:28:01,2025-12-07T23:04:56,marefuori_lavendetta,Bahlil tolol..goblok lu jd manusia anjing..,0
2025-12-10T14:28:01,2025-12-07T23:04:20,andra.7700,Kumaha sia we JIN Tomang.,0
2025-12-10T14:28:01,2025-12-07T23:02:51,mark_anthony0018,Nepal,0
2025-12-10T14:28:01,2025-12-07T23:02:30,diaz_harden,Dasar dpr = Bencana alam,0
2025-12-10T14:28:01,2025-12-07T23:01:15,ikhwansapuri,Klo ga mau bertele-tele udahin aja DPRnya bubar gitu kan beres,0
2025-12-10T14:28:01,2025-12-07T22:58:14,distorstickman1991,SINTING SIA MONYET HIDEUNG,0
2025-12-10T14:28:01,2025-12-07T22:56:00,rizalrizkianaa,"Tolol boleh, goblog juga boleh",0
2025-12-10T14:28:01,2025-12-07T22:55:14,farddsyah,kontol nih manusia @_pengenumroh,0
2025-12-10T14:28:01,2025-12-07T22:54:49,iqbalap__,kntl,0
2025-12-10T14:28:01,2025-12-07T22:54:40,sedolmiftah9,ooooooo asu🤣,0
2025-12-10T14:28:01,2025-12-07T22:54:35,panjangsragen28,Nepalkan,0
2025-12-10T14:28:01,2025-12-07T22:51:48,realyuzril_,"Iyo ,gak katene meleh koen lil lak masyarakat seng mele",0
2025-12-10T14:28:01,2025-12-07T22:50:43,g_adryan1,Bilang aja takut pak,0
2025-12-10T14:28:01,2025-12-07T22:50:39,parlemen_07,YOK YOK,0
2025-12-10T14:28:01,2025-12-07T22:50:34,yazull_03,Ni orang harusnya buat umpan buaya aja,0
2025-12-10T14:28:01,2025-12-07T22:49:54,ananta2008,"Mau pengalihan isu ya?supaya kerusakan alam d sumatera gak d usut?biar sawit, tambang lanjut terus??",0
2025-12-10T14:28:01,2025-12-07T22:48:50,sadamtriyanto,Takut kalah ya tele tele,0
2025-12-10T14:28:01,2025-12-07T22:47:21,dany_kb94,"Lagi beerduka malah bikin polemik yang membakar perasaan rakyat ,bahlul gatau tempat.",0
2025-12-10T14:28:01,2025-12-07T22:47:18,green_country62,"Bahlul lagi...bahlul lagi, mending di s3mb3lih nih monyet",0
2025-12-10T14:28:01,2025-12-07T22:45:14,ninanunenonina,lagi duka bencana malah ngomongin Pilkada? TENYOM!!!,0
2025-12-10T14:28:01,2025-12-07T22:43:25,nicobasskoro,KNTL,0
2025-12-10T14:28:01,2025-12-07T22:42:26,sclbeatz,"Na'udzubillahi min dzalik. Kami berlindung kepada-Mu, ya Allah, dari segala hal yang buruk dan merugikan. Limpahkanlah kepada kami pertolongan-Mu yang lembut, dan anugerahkan kebaikan yang penuh berkah. Aamiin 🤲🏻",0
2025-12-10T14:28:01,2025-12-07T22:42:11,rprime___,BHLIL JNC0KK,0
2025-12-10T14:28:01,2025-12-07T22:41:50,seila_misel,Bisa ga dia di tenggelamkan ke dalam lumpur banjir Sumatra,0
2025-12-10T14:28:01,2025-12-07T22:37:11,indra_near,"Dia sadar gak seluruh Indonesia benci sama dia,cuma keluarga dia yg suka sama dia,sama penjilat2nya",0
2025-12-10T14:28:01,2025-12-07T22:35:30,whs.limz,emang monyet si bahlil,0
2025-12-10T14:28:01,2025-12-07T22:34:21,alparizi_salman,Nepalkan🔥🔥🔥,0
2025-12-10T14:28:01,2025-12-07T22:31:20,dikaaprstt,@bahlillahadalia @golkarpedia lu klo gbsa kelarin masalah seengganya gaush bikin masalah tolol,0
2025-12-10T14:28:01,2025-12-07T22:30:32,achdiiryan,knp rumah ni orang gk d jarah kyk eko uya kuya kmaren y,0
2025-12-10T14:28:01,2025-12-07T22:30:27,finafzh,buat negara sendiri aja deh packkk,0
2025-12-10T14:28:01,2025-12-07T22:29:15,mila.zainiya,"ni org gragas banget anjay,udh muka kaya 👺 seolah2 mau menguasai kekuasaan maruk banget",0
2025-12-10T14:28:01,2025-12-07T22:27:44,risk_maw,Lu knape si lul,0
2025-12-10T14:28:01,2025-12-07T22:27:30,taqim944,Soi iblis,0
2025-12-10T14:28:01,2025-12-07T22:27:15,core__a______zone,Utekmu pindah Nang silit a lil,0
2025-12-10T14:28:01,2025-12-07T22:26:01,jeje_puspita,Diem dulu lah Lil,0
2025-12-10T14:28:01,2025-12-07T22:23:06,merdisihombingluxury,NYETTTT,0
2025-12-10T14:28:01,2025-12-07T22:22:37,siridhoo,bahlul,0
2025-12-10T14:28:01,2025-12-07T22:22:28,astra01.19,Kalau aku presiden org ini yg pertama ku bungkam mulutnya 😂,0
2025-12-10T14:28:01,2025-12-07T22:19:37,nursalim912,Bahlul emang,0
2025-12-10T14:28:01,2025-12-07T22:19:20,fajarlestari24,Manusia Fir'aun kek gini kenapa bisa jadi pejabat,0
2025-12-10T14:28:01,2025-12-07T22:17:05,lalalilifa_,Nih orang cinta bgt dihujat ya.,0
2025-12-10T14:28:01,2025-12-07T22:15:56,dhyo.saputra,LEBIH BAIK GOLPUT . Semakin kesini semakin gak jelas pemerintahan,0
2025-12-10T14:28:01,2025-12-07T22:14:53,__honestlyprsn,"bisa diem aja ga si lu, betingkah mulu.",0
2025-12-10T14:28:01,2025-12-07T22:14:40,ridosilalahi_,"tolong jadi negara itu yang professional dikit,kuliat negara kita ini penuh dramanya anjingggg",0
2025-12-10T14:28:01,2025-12-07T22:13:56,costfivebucks,"gk berenti berentinya ,gk cape apa jdi dong*",0
2025-12-10T14:28:01,2025-12-07T22:13:48,itshellofajar_,,0
2025-12-10T14:28:01,2025-12-07T22:13:25,traderclax,"Lebih setuju di pilih presiden, dengan syarat: Harus orang profesional dan bukan orang partai atau titipan partai",0
2025-12-10T14:28:01,2025-12-07T22:12:42,dimasonepiece,@bahlillahadalia kenapa gx lu yg kena banjir ya dan ketimbun kayu rapuh,0
2025-12-10T14:28:01,2025-12-07T22:12:04,zilong9704,Bahlil anjing,0
2025-12-10T14:28:01,2025-12-07T22:11:59,royhn.rm,Emang biadab nih orang,0
2025-12-10T14:28:01,2025-12-07T22:11:57,bucin_nt,Anjing memang!!,0
2025-12-10T14:28:01,2025-12-07T22:11:28,itobenedct_,Ini si kontol bisa diem ga,0
2025-12-10T14:28:01,2025-12-07T22:11:13,rudynovrintara26,"Pemerintah tidak butuh rakyat ,, terus buat apa rakyat harus bayar pajak 🔥",3
2025-12-10T14:28:01,2025-12-07T22:09:08,indra0612,The real beban,0
2025-12-10T14:28:01,2025-12-07T22:06:59,tsyukrianto,"di coc goblin tu paling maruk emang, meski biar kena mortar pokoknya harus garuk gold storage",0
2025-12-10T14:28:01,2025-12-07T22:06:53,mekel_rendi_01,Ini goblin coc KLO GX bego ya farming😂,0
2025-12-10T14:28:01,2025-12-07T22:06:44,m.rafie_pratama,,0
2025-12-10T14:28:01,2025-12-07T22:05:22,ade_setiawan_putra,"Ni anjing ada2 aja idenya.orang lg susah,dia sibuk sendir",0
2025-12-10T14:28:01,2025-12-07T22:04:06,randaasurgianto,Pantek amak ang,0
2025-12-10T14:28:01,2025-12-07T22:02:56,alfire.adhimas,Itu menyimpang dari demokrasi gak sih ?,0
2025-12-10T14:28:01,2025-12-07T22:02:49,ammarrgl_,LO NGENTOT,0
2025-12-10T14:28:01,2025-12-07T22:02:09,appa_aliya88,diantara semua menteri.. menteri paling buruk dan nggak punya hati ya ini si Bahlul,0
2025-12-10T14:28:01,2025-12-07T22:01:47,abhiraj_shan,"Hmmm, bahlul takutt eee...",0
2025-12-10T14:28:01,2025-12-07T22:01:45,indahgalbina,"Dia panjang umur ya, padahal sering bikin kesel umat manusia berjuta jiwa 😂",0
2025-12-10T14:28:01,2025-12-07T22:01:10,lenithezombie23,Reng... ireng... out of the box amat pikiran lu,0
