scraped_at,created_at,username,comment,likes
2025-12-12T12:16:20,2025-12-09T21:16:43,emilianus.bith,Mau²nya angkat orang kaya gini jadi Mentri rupanya aja kayaq gorila begitu jg kelakuannya,0
2025-12-12T12:16:20,2025-12-09T21:18:13,uddin.ca,Tukang prank presiden.. 😅,0
2025-12-12T12:16:20,2025-12-09T21:18:11,tioramadhani,,0
2025-12-12T12:16:20,2025-12-09T21:19:02,amin_sfl01,@prabowo di gocek mulu ama Bahlil 😂,1
2025-12-12T12:16:20,2025-12-09T21:15:52,spongebob_kuning,@bahlillahadalia kamu kalau ga bisa mending mundur jangan asal ngomong lul..,0
2025-12-12T12:16:20,2025-12-09T21:16:25,e.astuti96,Sekelas menteri ngapusi? Pasti ga cuma sekali nihh😂,0
2025-12-12T12:16:20,2025-12-09T21:13:56,petapa_gendeng,Namanya juga BAHLUL 😂,0
2025-12-12T12:16:20,2025-12-09T21:12:49,menggala.u,Menteri terbaik warisan dua periode nya pakde,0
2025-12-12T12:16:20,2025-12-09T21:19:05,kiki_silviani19,Tenyom,0
2025-12-12T12:16:20,2025-12-09T21:12:35,flaiqiud,TOMBOL KNTL ------>,1
2025-12-12T12:16:20,2025-12-09T21:18:59,tubli_poiss,"Bermasalah berarti dari tim pelapor sampai penerima, butuh audit GK sih ..?",0
2025-12-12T12:16:20,2025-12-09T21:15:11,hellomonic,"Segitu banyaknya orang,gaada yg mau ngelempar apar?",0
2025-12-12T12:16:20,2025-12-09T21:13:20,arkhanalon,Dignti sja ni org,0
2025-12-12T12:16:20,2025-12-09T21:19:26,windaalejandro,"@bahlillahadalia KALO MAAF BERGUNA,UNTUK APA ADA KANTOR POLISI????? SEKELAS @presidenrepublikindonesia ORANG NOMOR 1 DI INDONESIA DIBOHONGI... IBARAT ANDA @bahlillahadalia LEMPAR TAI KE MUKA @prabowo .... 1 BUMI LIHAT INI🤦‍♀️🤦‍♀️🤦‍♀️",0
2025-12-12T12:16:20,2025-12-09T21:13:51,sellysean,Maaappppppppppppppppp terrroooosss,0
2025-12-12T12:16:20,2025-12-09T21:14:30,dyanmey,Kalau di Korut dahlah pindah alam,0
2025-12-12T12:16:20,2025-12-09T21:14:35,siokloan,Di KONOHA paling mudah minta MAAF setelah melakukan /mengucapkan hal² yang tidak berkenan/kurang berkenan.😂😂😂😂😂😂😂😂,0
2025-12-12T12:16:20,2025-12-09T21:20:39,stev7sg7,Bisa mintak maaf pak? 😂,1
2025-12-12T12:16:20,2025-12-09T21:12:59,jakarta_crazy_lion_021,Lu Udeh gelap hati lu gelap amat lu Islam bukan sih bahlul gak pernah ngaji apa,1
2025-12-12T12:16:20,2025-12-09T21:14:57,morphoo_o,Djaancokkk🔥🔥,0
2025-12-12T12:16:20,2025-12-09T21:18:57,stwn_ariss,Gahlil adab,0
2025-12-12T12:16:20,2025-12-09T21:16:29,iamalzha,Dia mirip bunian baru sadar aku😂😂😂,0
2025-12-12T12:16:20,2025-12-09T21:12:55,bekam911,"@bahlillahadalia bahlul  illogical, goblog  unlimited",0
2025-12-12T12:16:20,2025-12-09T21:19:16,jastipsofia_,Mabok etanol Lil?,0
2025-12-12T12:16:20,2025-12-09T21:20:49,denbayuaji,Turun lul malu rakyat punya menteri kaya lu,1
2025-12-12T12:16:20,2025-12-09T21:14:45,ridhosatria21,Tipu2 pande kali yaa lul,0
2025-12-12T12:16:20,2025-12-09T21:18:38,tetapsemangat8095,,0
