username,full_name,comment,create_time,avatar,total_like,total_reply,replies
grits_9883,grits_9883,"Heh bahlil kontol, kapan kau mati",2025-11-28T09:59:58,https://scontent.cdninstagram.com/v/t51.82787-19/574568424_17858316804544550_7027064017684282467_n.jpg?stp=dst-webp_s150x150&_nc_cat=107&ig_cache_key=GOg3PyIm2GtlC3I-AGM8ADx_JYVhbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=mRIO0tFYRP8Q7kNvwGfwszk&_nc_oc=AdnLCLYECfZRRBTpr_rncY5hihZnyt6xoZTjpzZ7FI3OTYoZXh_n7TSoOomUi_CTAixZk_AMUU51BaSwQdTyPYyi&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=AOcFGq6wKK2WoYlLFzIjKA&oh=00_AfnoRRik9D7_hy-7-du_837eNwfVYvt2Is_5Gyrq6s6vpA&oe=693B777D,0,0,[]
adhitya_ihza,adhitya ihza,@bahlillahadalia bangga dengan kejahatan? Nikmati api neraka di akhirat 🔥🔥🔥,2025-11-28T13:13:50,https://scontent.cdninstagram.com/v/t51.2885-19/419536892_685666817062015_4054227642054715806_n.jpg?stp=dst-webp_s150x150&_nc_cat=108&ig_cache_key=GPyfARl-tBA-nG8CAJ6pPWuPgkM4bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=D3cM_zwWjo0Q7kNvwENPmvR&_nc_oc=AdmD3KsEJyQay7QQq4ZZBKZ5rxxhDxopSwratdSw2OmlB8reVkqWCwXXVCpZr3FrtcEvEoOeaJieP3I8Z_PICc4Y&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_Afmd70bxEGohYVSqQRbzwpOZ3QUzyP87MDiEDpdM6L3Z7w&oe=693B7423,0,0,[]
adythio,Adythio Verosca,Astagfirullah banyak dosa liat orang ini,2025-11-28T11:55:39,https://scontent.cdninstagram.com/v/t51.2885-19/29088644_1228912460572033_1490762700102303744_n.jpg?stp=dst-webp_s150x150&_nc_cat=101&ig_cache_key=GITbuwGBJax6sF0EAAAAAADHQLAUbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43ODAuQzMifQ%3D%3D&_nc_ohc=hAA8t5k4tnQQ7kNvwG7Hzy1&_nc_oc=Adn4nLwIBA1hQlhYtNMtY463kqvlLCWJmjbnaAFPJW0ekkFaDvYAP9NYduhkekVXzPV_3vqPewzC8oetvLdI8WNE&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AflV_AeKudzG8g6g6CbTna20oYCN590wrdFF9044RjxyqA&oe=693B7745,0,0,[]
justna_nn,nab,"minimal malu anjir ngomong kaya gini, ini sama sekali gada malunya? inj sebenernya tol*l apa pura pura tol*l sih..",2025-11-28T14:38:33,https://scontent.cdninstagram.com/v/t51.82787-19/588416399_17969733825004189_4532683408326519380_n.jpg?stp=dst-webp_s150x150&_nc_cat=103&ig_cache_key=GI_FEiOdAlmxYNc-AFTqm3CLU_c_bmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy44MTAuQzMifQ%3D%3D&_nc_ohc=8Ww8-SBSWjgQ7kNvwFVamHL&_nc_oc=AdkoipmedAfYH_tqGrJQyoQY9fTUDcnMPn_x4DgBKrwK4QO1YnsjdvN3B-TgIZWCO4fcbNVif2ya7KItcxbXnA6M&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=AOcFGq6wKK2WoYlLFzIjKA&oh=00_Afl_AT5M_V2The5vMLrzezbg_wjWgSvL5gJ6HynKQQTr5g&oe=693B9887,0,0,[]
i_mrhudy,Harpan Rhudy,"Oligarki itu bukan penguasa lil 😂 tapi sistem yg menjadi support penguasa, bodoh betul kau ini lil 😂",2025-11-28T14:15:42,https://scontent.cdninstagram.com/v/t51.2885-19/470664973_971997671417231_2747439369432263263_n.jpg?stp=dst-webp_s150x150&_nc_cat=110&ig_cache_key=GA3HDRyPZe3XBnQDAF-q7siM3SAmbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy42ODkuQzMifQ%3D%3D&_nc_ohc=v_41cgiWmkIQ7kNvwEgU2qD&_nc_oc=Adk2YYqjxlFYt75VF6qq_GUVmAx7d0rLbDHJL6mk23PXY4e0utbflGE3tdR7PH7Trej87hsmQe2Vg-dlT88IGMFV&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AflLMIyn3BovNa2n5E24fYXwrmBbuRe0DUCvvsDRYiwwwQ&oe=693B777F,0,0,[]
sarif283,Syarif Doang,BUKA AIB SENDIRI TP GA SADAR...ITULAH ADZAB YG SESUNGGUHNYA,2025-11-28T14:26:05,https://scontent.cdninstagram.com/v/t51.82787-19/553370729_18521945008054352_994575730662492441_n.jpg?stp=dst-webp_s150x150&_nc_cat=111&ig_cache_key=GGnE_yBQIMFgnM1BABnJXIhbcc0NbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43NDcuQzMifQ%3D%3D&_nc_ohc=H1nX01kFWocQ7kNvwEkLYBQ&_nc_oc=Adlm5JTHjuChPU6xUeG83LX8R6_suD6T73IIbQQRWiRVnDUMdor6wtkgl2VRlRBlh_LSU9cxrPS9BlsuBym65fId&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=AOcFGq6wKK2WoYlLFzIjKA&oh=00_AfnCTd-cJnbSykauzrOwEqt28Jg3dE7Q6lH_O3kDSoD9jg&oe=693B8E6D,0,0,[]
rlrlrlrlrlrrlll,Ultramen,MUKA SAMA PERANGAI SAMA KEK KONTOL BAHLIL,2025-11-28T13:55:07,https://scontent.cdninstagram.com/v/t51.89012-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-webp_s150x150&_nc_cat=108&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy5DMyJ9&_nc_ohc=Z7kRd9ibHtAQ7kNvwGOwvXk&_nc_oc=Adn2yDTJJZt_1ggDIQY_oTFFdG85HQ37XdKyZtSTz2Vb1JSf5ip9j1TwYxwwb1lCoTifs6GLbXkXoeV602MkI-eb&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=AOcFGq6wKK2WoYlLFzIjKA&oh=00_AfkpPXxpN1xAAsIUDNRMbbKhnSQOG6WMunnMxjuqbRLl5Q&oe=693B74D9,0,0,[]
himzkyxxzyy,,Ya karna niat kw emng udh ajg muka kek anj3ngggg emng anjeng se ajg ajg ny eeeeee anj3ng pun tak sudi di bilang mirip kw cuihhhh,2025-11-28T15:04:13,https://scontent.cdninstagram.com/v/t51.89012-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-webp_s150x150&_nc_cat=108&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy5DMyJ9&_nc_ohc=Z7kRd9ibHtAQ7kNvwGOwvXk&_nc_oc=Adn2yDTJJZt_1ggDIQY_oTFFdG85HQ37XdKyZtSTz2Vb1JSf5ip9j1TwYxwwb1lCoTifs6GLbXkXoeV602MkI-eb&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=AOcFGq6wKK2WoYlLFzIjKA&oh=00_AfkpPXxpN1xAAsIUDNRMbbKhnSQOG6WMunnMxjuqbRLl5Q&oe=693B74D9,0,0,[]
elsyanurmalasari,Elsya Nurmalasari,Ya ampun gmn g negeri ini penuh dosa ya pemikirannya seperti ini,2025-11-28T10:30:38,https://scontent.cdninstagram.com/v/t51.82787-19/558140734_17842567215591873_8735472502235788731_n.jpg?stp=dst-webp_s150x150&_nc_cat=107&ig_cache_key=GD6NRCHBMcRouGM-ALv19FD1oTp5bmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=WNsH1oOkxLYQ7kNvwH7T3Q1&_nc_oc=Adl45r0Du6900-wORQInd-dzhr6j88XxT3MD9gE4ZBq_CRy7ujUh0wc8qMmQt32gDpw6_OhZY7gVH1AAnQXKNLme&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=AOcFGq6wKK2WoYlLFzIjKA&oh=00_AfmHvX_R95zeFR_ulSIQXmWa4ScZEL_J9YK39a8fmG3nfg&oe=693B7332,0,0,[]
septianfernando7,Septian Fernando,Anjir serem muka iblis,2025-11-28T13:52:21,https://scontent.cdninstagram.com/v/t51.75761-19/502712830_18011836046737242_1107094029740084004_n.jpg?stp=dst-webp_s150x150&_nc_cat=108&ig_cache_key=GP7J9h1af1Fhq-0-ACQLnYcnMF0PbvEnAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=q407YagN7AkQ7kNvwFAVaYb&_nc_oc=AdlmOueKSERg4rwyBS68wMdy43tvma1efObV9mZWNdIvp4hVpYqyHMv_K0s6BCyjGRikTYeIvUWgJZph2s7p8bE_&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=AOcFGq6wKK2WoYlLFzIjKA&oh=00_AfkpGXagJVuvkxh3no9cSfc507XBH2jboDxKhkCFihLrgg&oe=693B989F,0,0,[]
